x=1, n=16, |dx| = 0.5
i,p_i,q_i
0,1.8584614116555019199285924523440848848720515632210478783694620544e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,9.5190876216472083736714000252579850255923205709307488003945718499e-1,3.7066400902703865473017712237096253403643538923640101100976054009e-1
2,1.1722833545417966366646023299110077577566075085433857478256178000e0,-3.0017619485995853725065419232653817533608973654248974250058456715e-1
3,4.7853634847520278184795772183419035983865589477652947034892570144e-1,3.9517116009486100334136356909271995391443412599500184947790653908e-1
4,3.2439514453851570158303063371058444122434343889609203691264258772e-1,3.3969588612844048392486881982188433685137703097374286059033292346e-2
5,1.0850492439944172868396748099678871857913529287575402090233218614e-1,-2.2752716936305868404148566741590533165040947277698126467316833184e-2
6,5.2241702208863791059416726145405736148330653040761284374924320283e-2,1.5627002399749442355766658297115184651819411955313433975504872579e-2
7,1.4448729745271781508522496264176827281750124395663966432488347705e-2,5.2688150278170433292842766939643917623428261567542615388832421670e-3
8,5.4036736959075983984049429825657163679882291419166856642035220738e-3,-1.0309781880688810284650594170686747371131745251042635573166134874e-3
9,1.2259028017748962548083961921814059193880069035496864346733315512e-3,1.6122756043241090755285267810082382975825384709282609023341543662e-4
10,3.6929862537711563436667814069532904741765842869132099583000092112e-4,1.2163306792621668903207350529716791453721351705075344497189353158e-4
11,6.6583959371611364235802300236991899799655357173909111569780613285e-5,-4.2166326062209538766304621003562329019569325380738979472598487038e-6
12,1.6283592349617070998151443116319437473704811289140145312863429719e-5,-1.9313042479244467058411338232213356790826425365474150636547965218e-6
13,2.1539269458247261391744280803701742238217376233866173704280928883e-6,8.7859995312101519647387335129350134978577496003310972092834108989e-7
14,4.2027699209524260611509074811316417069060698903749809696517445269e-7,2.4402850981556255342167194990417909024497605735581293920455657332e-8
15,3.2163949725586778600538525314129471209472492354825129537146460318e-8,-1.1583942138940519861237147418180790993571457580188040445588153583e-8
16,4.7396200326297875115302325098085026873683848735560444005775045976e-9,1.0261526598665273912964108406324112908489253349652997367153101749e-9
relative error = 1.9366348405e-28

x=2, n=16, |dx| = 0.5
i,p_i,q_i
0,3.3185063693964264648013886546902101445031320323230931495764948666e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,3.4986873196490021954200149032738003794910129375399610174550024573e0,3.7280216702219604774120997082804117414972735847677129119190260920e-1
2,3.3603162734584021454538667811235492018341007204905478454789087126e0,6.5709040310397311518546739787805986436933076256112392824235373417e-1
3,2.1108683894148134993260724259990690846856490529059388857078018500e0,2.9905214009656062595112918066943525150162556007338398732254246320e-1
4,1.1954303608601143620338167840929067277967664662134708024693120379e0,1.1119706162420801231694246236616139840641654971380157149006876127e-1
5,5.3902787612482447483434756733548922811094833465747009288362697210e-1,9.1049797146903173182947409638359674165070087935543685790470890200e-2
6,2.2092918588553238766494187421645809803122132617347325210513059489e-1,1.6320532217576088963662274068616804640922125477292977293370884256e-2
7,7.6443408933172181313947874909192184216641206914809383271974535634e-2,7.7953872823879163185571033878935120328221922183261533105950993917e-3
8,2.4131960664257608546579264552428270430923741797519003242045953722e-2,2.8555116191152022040065220539641137896766630293290715242791083926e-3
9,6.5382500531328755882838016049090119883657188500776081734594359738e-3,3.8242086339221156513842037077227330570114610363439714229560700577e-4
10,1.6106594965900520585295807950613575023533694418474546559261009139e-3,1.2490011191620455553754286370909285858693920328063414469386156390e-4
11,3.3718433400959475283006061040266546160449799789437891939676326075e-4,3.3914428409807935251282114436679994129208314787132192122076786846e-5
12,6.3306259815843538294531888138344682596180226071965012902467815739e-5,1.6368745652634000697569437514870413604489687601142914443651591118e-6
13,9.6318626445223051592491379902503935853533836056798753626407142266e-6,5.8593577514731383244797957725190337334727842102817257335397334326e-7
14,1.2708591554947555472715887859628613966296079275246991157936104171e-6,1.0103740184883955313568216233468239424939459446615497808273293644e-7
15,1.1496873018148163573807220957831987586496146330860785369098030512e-7,-4.6323190275531393639393964433891434098621726528959872257794494214e-9
16,8.2176471528345094866194012665218811592619587935156715605383098883e-9,4.8186949243853208311063779251805740963858810895188890057459666928e-10
relative error = 3.6303539809e-29

x=3, n=16, |dx| = 0.5
i,p_i,q_i
0,5.6094363541575551936186587702241221194336296996129709574763543484e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,9.0750925431640310041664261359614203830035117812960507797501474146e0,1.2272624547135994203131682761432870476883788282963111968689860589e0
2,9.5521763906483371505742732075904644671132428770424712579566872054e0,1.2427032070898219522321958972736426163604247773205576766553365411e0
3,7.2102509327065171483174144559966847668552415360668980218757030014e0,8.1505724577528898384189779748868231733031931521629655207293599700e-1
4,4.3809351183697879512325945149328510583099472150959660196369699910e0,4.7571424127163143925273743429369152988868244058844847417902936229e-1
5,2.1967477158949925380231931335696356050191539155126607845101980434e0,2.1528459320424812080684043466185770600146437193360082890714784386e-1
6,9.3987182173627121599631238033806369519633331687453967952268515006e-1,8.6796021827739385935830118158828862091919544374264881160630335253e-2
7,3.4573197374290264606292233759780803713636003118697553679941868008e-1,2.9836362336809508322602342379791497592481729941087858034647517279e-2
8,1.1063197658159174686070058805720991437956608584235043192223969990e-1,8.6363757496406578560494526404752130989935734554975915291256789818e-3
9,3.0738510830760127673086212858111779154808864359424083334197315392e-2,2.2997761624469157182842866349106752930685540702701216256710561355e-3
10,7.4182303893095331514309351861150051086099016695068494850234639084e-3,4.8615948075580518344154748842151448666474706079793700593281018524e-4
11,1.5364892241739624473388772084101408061928925086440341221683817568e-3,9.3404781141019237024540949478976350128818333031936746470779275036e-5
12,2.6990756164309546814997717665655071300019248560592464569651756029e-4,1.4479631295267072594301577070558668541873329622255835919345675634e-5
